2013-12-21 01:25:54,944 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\learning-pfextension\Learning-Primefaces-Extension-Development\jobhub\pom.xml
2013-12-21 01:26:02,740 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.packt.pfextensions:jobhub:0.0.1-SNAPSHOT @ D:\learning-pfextension\Learning-Primefaces-Extension-Development\jobhub\pom.xml.
2013-12-21 01:26:04,927 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.packt.pfextensions:jobhub:0.0.1-SNAPSHOT @ D:\learning-pfextension\Learning-Primefaces-Extension-Development\jobhub\pom.xml.
2013-12-21 01:26:05,026 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jobhub/src/main/java
2013-12-21 01:26:05,027 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /jobhub/src/main/resources
2013-12-21 01:26:05,028 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jobhub/src/test/java
2013-12-21 01:26:11,718 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Project import completed 16 sec
2013-12-21 01:26:17,722 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.packt.pfextensions:jobhub:0.0.1-SNAPSHOT @ D:\learning-pfextension\Learning-Primefaces-Extension-Development\jobhub\pom.xml.
2013-12-21 01:26:17,976 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-21 01:26:18,000 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-21 01:26:18,004 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-21 01:26:18,005 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\learning-pfextension\Learning-Primefaces-Extension-Development\jobhub\src\test\resources
2013-12-21 01:26:18,377 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-21 01:26:18,433 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-21 01:26:18,436 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-21 01:26:18,437 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\learning-pfextension\Learning-Primefaces-Extension-Development\jobhub\src\test\resources
2013-12-21 01:27:17,811 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-21 01:27:17,813 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-21 01:27:17,816 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-21 01:27:17,817 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\learning-pfextension\Learning-Primefaces-Extension-Development\jobhub\src\test\resources
